Date,Pond,Size,Sex
2021-12-23,NW,2.2,Male
2022-01-27,NW,2.6,Male
2022-02-25,SE,1.7,Male
2022-02-25,SE,2.5,Male
2022-03-11,NW,2.7,Male
2022-03-11,NW,2.9,Male
2022-03-11,SE,2.6,Female
2022-03-11,SE,2.7,Female
